meta.uuid,More environmental protection,More wealth redistribution,Lower taxes,More jobs,Less immigration,Better schools,Better healthcare,Higher wages,Higher pensions,Better enforcement of law and order,Equal rights for minority groups,"Lower costs of living (e.g. rent, water, energy)","Better public services (e.g. transportation, waste management)","Better infrastructure (e.g. roads, sidewalks)",Other,None of these
08e883f0-f239-0134-77ac-0aeaf0818377,2,1,2,1,1,2,2,2,2,1,2,2,2,1,2,2
09262b80-ee16-0134-fb4b-0a6b3886cf3d,2,1,2,2,1,2,2,2,1,1,2,1,2,2,2,2
09769c30-ef0b-0134-65ec-0a6b3886cf3d,1,2,2,1,2,2,2,2,2,1,1,2,2,1,2,2
099391c0-ee21-0134-4e33-0a6b3886cf3d,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2
09b90680-ee5e-0134-0e64-0a6b3886cf3d,2,1,1,2,1,2,2,1,1,2,2,2,2,2,2,2
09f2a290-ef99-0134-4775-0a6b3886cf3d,2,2,2,1,1,2,1,2,1,2,2,1,2,2,2,2
0a1b0b10-f18b-0134-cbc1-0a6b3886cf3d,2,2,2,2,1,2,1,2,1,1,2,2,1,2,2,2
0a2e8dc0-f1f0-0134-39b1-0aeaf0818377,1,2,1,2,2,1,2,2,1,1,2,2,2,2,2,2
0a59e0e0-efc3-0134-6e40-0a6b3886cf3d,1,1,2,2,2,1,2,2,1,2,2,1,2,2,2,2
0a5b9af0-eeb5-0134-cac4-0a6b3886cf3d,2,2,1,1,2,2,1,2,1,1,2,2,2,2,2,2
0a6f5330-eee7-0134-1b1f-0a6b3886cf3d,2,2,2,1,1,2,2,1,2,1,2,2,2,1,2,2
0a8fff30-f0a2-0134-a07c-0a6b3886cf3d,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2
0a90f410-ec5d-0134-19c2-0a6b3886cf3d,2,2,1,2,2,2,2,2,2,2,1,1,2,1,2,2
0acb7fe0-f049-0134-78cf-0a6b3886cf3d,2,2,2,2,1,2,1,2,2,1,2,1,2,1,2,2
0ae684d0-ed53-0134-582e-0a6b3886cf3d,2,2,1,2,2,1,1,2,2,1,2,1,2,2,2,2
0b06f970-ef1b-0134-3059-0aeaf0818377,1,2,2,2,2,2,1,2,2,1,1,1,2,2,2,2
0b0feaa0-f4c4-0134-ace9-0a80a991f55d,2,2,1,2,2,2,1,1,2,2,1,1,2,2,2,2
0b2093a0-eed2-0134-8df3-0a6b3886cf3d,2,2,1,1,2,2,2,1,2,1,2,1,2,2,2,2
0b3ed2a0-edfb-0134-82a9-0aeaf0818377,1,2,1,1,2,2,2,1,2,2,2,1,2,2,2,2
0b5b1c60-f218-0134-1954-0aeaf0818377,1,2,2,2,2,2,2,2,2,1,1,2,2,1,2,2
0b82fa40-f493-0134-9d1f-0a80a991f55d,2,2,2,1,2,1,2,1,2,1,2,1,2,2,2,2
0b86bbf0-ef76-0134-180a-0a6b3886cf3d,1,2,2,1,2,1,2,1,2,2,1,2,2,2,2,2
0b9334c0-f08d-0134-16ad-0a6b3886cf3d,2,1,1,2,2,2,2,2,2,1,2,1,2,1,2,2
0ba5fc60-ee93-0134-51d3-0a6b3886cf3d,2,2,1,1,2,1,2,2,1,2,2,1,2,2,2,2
0bb46640-f13b-0134-976d-0a6b3886cf3d,1,2,2,2,1,1,2,1,2,1,2,2,2,2,2,2
0c1f4580-ee1f-0134-47c3-0a6b3886cf3d,2,2,2,2,1,1,2,1,2,1,2,1,2,2,2,2
0c1f99c0-ed6d-0134-2825-0a6b3886cf3d,1,1,1,2,1,2,2,2,2,1,2,2,2,2,2,2
0c336360-ee2f-0134-ffb5-0aeaf0818377,2,2,1,2,2,1,2,1,2,2,2,2,2,1,2,2
0c3b72a0-f3b8-0134-3136-0a80a991f55d,1,1,2,1,2,1,2,2,1,2,2,2,2,2,2,2
0ca046f0-efa9-0134-ff14-0a6b3886cf3d,1,2,2,2,1,2,2,2,1,1,2,2,2,1,2,2
0cc38e90-ee2c-0134-cd9f-0a6b3886cf3d,1,2,2,2,2,2,1,2,2,2,1,1,1,2,2,2
0d3223c0-edcc-0134-caf5-0a6b3886cf3d,1,2,2,2,2,1,2,2,2,2,1,2,2,2,1,2
0d677fa0-ed44-0134-43ad-0a6b3886cf3d,2,1,1,2,1,2,2,1,2,1,2,2,2,2,2,2
0d809450-f3ae-0134-ce9a-0aec2244eae5,1,1,1,2,1,2,2,2,2,1,2,2,2,2,2,2
0dd211d0-eeb3-0134-00a9-0aeaf0818377,2,2,1,2,1,1,2,2,1,1,2,2,2,2,2,2
0de59200-edeb-0134-dbc3-0a6b3886cf3d,2,2,2,2,2,2,1,1,1,2,2,1,2,2,2,2
0de73c50-ed29-0134-c90d-0aeaf0818377,1,2,2,1,1,2,2,2,1,2,2,1,2,2,2,2
0e0e7010-f08e-0134-1965-0a6b3886cf3d,2,2,2,2,2,2,1,2,1,1,2,1,2,2,2,2
0e29a590-edee-0134-6580-0aeaf0818377,1,2,2,2,2,2,1,1,1,2,2,1,2,2,2,2
0e6b2b30-ecaa-0134-93b2-0a6b3886cf3d,2,2,2,2,2,1,2,1,2,2,1,1,2,1,2,2
0e6e70f0-ed68-0134-1b0f-0a6b3886cf3d,2,1,2,1,2,2,1,2,2,2,1,1,2,2,2,2
0ec96b50-f06e-0134-c3d8-0a6b3886cf3d,1,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2
0ecc9f70-ea68-0134-ed56-0aeaf0818377,2,2,1,1,2,1,1,2,2,2,2,2,2,1,2,2
0eeec5f0-ee26-0134-e09f-0aeaf0818377,2,1,2,1,2,2,1,1,1,2,2,2,2,2,2,2
0f5ee0d0-ed18-0134-6d46-0a6b3886cf3d,2,2,2,1,2,1,2,1,1,2,2,1,2,2,2,2
0f82c750-ee42-0134-5198-0aeaf0818377,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
0f933f20-ee25-0134-61b9-0a6b3886cf3d,2,2,1,2,1,2,2,1,2,1,2,1,2,2,2,2
0feef7f0-ee36-0134-9ed5-0a6b3886cf3d,2,2,1,2,1,2,2,1,2,1,1,2,2,2,2,2
10068970-ee91-0134-4e8d-0a6b3886cf3d,1,2,2,1,2,1,2,2,2,1,1,2,2,2,2,2
1017e5f0-edc2-0134-143a-0aeaf0818377,1,2,2,1,2,1,1,2,2,2,2,2,2,1,2,2
103cf3f0-f228-0134-40ab-0aeaf0818377,1,1,2,1,1,2,2,2,2,2,2,1,2,2,2,2
106e70f0-ed75-0134-7f6c-0a6b3886cf3d,2,1,2,2,1,1,2,2,1,2,1,2,2,2,2,2
109c3fe0-eaf9-0134-c4c5-0a6b3886cf3d,2,2,1,2,2,2,1,1,1,2,2,1,2,2,2,2
10a11360-ee39-0134-1ef2-0aeaf0818377,2,2,1,2,2,1,2,1,1,2,2,2,2,1,2,2
10a29870-f475-0134-8dc3-0a80a991f55d,2,2,1,2,1,1,2,2,2,1,2,2,2,1,2,2
10e74820-eebf-0134-5555-0a6b3886cf3d,1,2,2,1,2,1,1,2,2,2,1,2,2,2,2,2
1144a550-ee49-0134-9ecf-0aeaf0818377,2,2,1,2,1,2,1,1,2,2,2,1,2,2,2,2
115f4980-ee24-0134-5e30-0a6b3886cf3d,2,2,2,2,1,1,2,2,2,1,2,2,1,1,2,2
11f435c0-f491-0134-3f79-0aec2244eae5,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2
120336a0-eea6-0134-2447-0a6b3886cf3d,2,2,2,2,2,1,1,1,1,2,2,1,2,2,2,2
121ab4a0-f466-0134-111b-0a2d04121181,2,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2
125eb4d0-ede5-0134-ca26-0a6b3886cf3d,2,2,2,1,2,2,2,2,2,1,1,2,1,1,2,2
12755130-f17a-0134-abd3-0a6b3886cf3d,2,2,2,1,1,2,1,2,2,1,2,2,1,2,2,2
12861970-ed29-0134-c91c-0aeaf0818377,2,2,2,1,1,2,2,2,1,2,1,2,2,1,2,2
129f6e60-eefa-0134-5a37-0a6b3886cf3d,2,2,1,1,2,2,1,2,1,1,2,2,2,2,2,2
13163740-f088-0134-2d64-0aeaf0818377,1,1,2,2,2,1,2,1,2,2,2,1,2,2,2,2
1329e610-eee4-0134-1146-0a6b3886cf3d,1,2,2,1,2,2,1,2,2,2,1,1,2,2,2,2
13324470-efb5-0134-26a6-0a6b3886cf3d,1,1,1,2,1,2,2,2,2,2,2,1,2,2,2,2
1348a470-eef3-0134-4406-0a6b3886cf3d,1,1,2,2,1,2,2,1,1,2,2,2,2,2,2,2
13576fd0-ee15-0134-f85f-0a6b3886cf3d,2,2,1,1,2,2,2,1,1,2,1,2,2,2,2,2
13644e40-ee39-0134-a7fa-0a6b3886cf3d,2,2,2,2,1,1,1,1,2,2,1,2,2,2,2,2
136c7830-f071-0134-cb6b-0aeaf0818377,2,2,1,2,1,2,2,2,2,2,2,1,2,2,2,2
13a2f400-ed8e-0134-a10a-0aeaf0818377,1,2,2,1,2,1,2,2,2,2,1,2,2,2,2,2
13cb9f60-ef06-0134-7b52-0a6b3886cf3d,2,2,2,2,1,2,1,1,1,1,2,2,2,2,2,2
13d0bcd0-ee93-0134-51e3-0a6b3886cf3d,1,2,2,2,2,1,2,2,1,2,1,2,2,1,2,2
13deea40-ec9a-0134-23d4-0a6b3886cf3d,1,1,2,2,2,2,2,1,1,1,2,2,2,2,2,2
13e4cb40-ed8c-0134-fcdb-0a6b3886cf3d,1,2,2,2,2,1,2,1,2,2,2,1,2,2,2,2
1403a5d0-f119-0134-8ff6-0aeaf0818377,2,1,2,2,2,1,2,1,2,2,2,1,2,2,1,2
140c4120-f3c4-0134-bceb-0a2d04121181,2,1,2,2,1,2,1,2,2,1,2,1,2,2,2,2
141bb2b0-f17e-0134-b46f-0a6b3886cf3d,2,2,2,1,2,2,1,1,2,2,2,1,2,1,2,2
14397c10-f125-0134-f9f6-0aeaf0818377,2,2,1,2,2,2,1,2,1,2,2,1,2,1,2,2
14463d60-ef20-0134-e989-0a6b3886cf3d,2,2,2,1,2,1,2,1,1,2,2,1,2,2,2,2
146592a0-f042-0134-6aa7-0a6b3886cf3d,2,2,1,1,2,1,2,2,2,2,2,2,2,2,1,2
146c2e70-efd6-0134-91c5-0a6b3886cf3d,2,2,1,1,2,1,2,1,1,2,2,2,2,2,2,2
14b5d4c0-eed0-0134-88af-0a6b3886cf3d,1,2,2,2,2,1,1,2,2,2,1,2,1,2,2,2
14e31d70-efa9-0134-3b27-0aeaf0818377,2,2,2,2,1,1,1,2,1,2,1,2,2,2,2,2
1513b150-f442-0134-fbb8-0a2d04121181,2,2,2,1,2,2,2,1,1,2,1,2,2,1,2,2
152da3c0-f100-0134-62dd-0aeaf0818377,2,2,1,2,1,2,2,2,2,1,2,2,2,1,2,2
15cae430-ee73-0134-988c-0aeaf0818377,1,2,2,2,2,1,2,2,2,1,1,2,1,2,2,2
15d62ac0-f05e-0134-eb2d-0aeaf0818377,2,1,1,2,1,2,2,2,1,1,2,2,2,2,2,2
15fe5aa0-ed9d-0134-cd62-0a6b3886cf3d,2,1,2,2,2,1,1,2,1,2,2,1,2,2,2,2
16199f20-ed86-0134-15ca-0aeaf0818377,2,2,2,1,2,1,2,2,1,1,2,1,2,2,2,2
16404db0-efbf-0134-9e8d-0a6b3886cf3d,2,2,2,1,1,2,1,1,1,2,2,2,2,2,2,2
166c8e20-ed4d-0134-fbe8-0aeaf0818377,2,2,1,2,2,1,1,1,2,2,2,1,2,2,2,2
167cd1e0-ed3a-0134-7828-0a6b3886cf3d,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
172668e0-f056-0134-7a6c-0a6b3886cf3d,2,2,1,2,1,2,2,2,1,2,2,1,2,1,2,2
173007f0-ef68-0134-0c6a-0a6b3886cf3d,1,2,1,2,2,2,2,2,2,2,1,1,2,1,2,2
176136a0-ed06-0134-a4db-0aeaf0818377,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2
17688480-ea5a-0134-c088-0a6b3886cf3d,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
17a0d460-ed36-0134-57dd-0aeaf0818377,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
17dc17b0-ec97-0134-1ae4-0aeaf0818377,1,2,1,2,1,2,2,2,1,2,2,1,2,2,2,2
189b1270-efc7-0134-cba9-0aeaf0818377,1,2,1,2,2,2,2,2,1,2,1,2,2,2,2,2
18b640e0-f135-0134-1fb2-0aeaf0818377,2,2,2,1,2,2,2,1,1,2,2,2,2,2,2,2
18cf8070-ec86-0134-4b40-0aeaf0818377,2,2,2,1,2,2,2,1,1,2,1,2,2,1,2,2
18f73cf0-ed6a-0134-2087-0a6b3886cf3d,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2
1912dcd0-edbd-0134-9bcb-0a6b3886cf3d,1,2,1,2,1,2,2,1,2,1,2,2,2,2,2,2
195c82e0-eee2-0134-0aa2-0a6b3886cf3d,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2
19634510-f3da-0134-c960-0a2d04121181,2,1,2,2,2,1,1,2,1,2,1,2,2,2,2,2
19647410-eca0-0134-3610-0a6b3886cf3d,1,2,1,2,2,2,2,2,2,2,1,2,2,2,1,2
19d04d60-ea67-0134-ea7a-0aeaf0818377,1,2,1,1,2,1,2,2,2,2,1,2,2,2,2,2
1a021390-edf4-0134-a9f3-0aeaf0818377,1,2,2,2,2,2,1,2,2,1,1,2,1,2,2,2
1a0f9b70-ed56-0134-1a5a-0aeaf0818377,2,1,2,2,2,2,1,2,1,2,1,2,2,1,2,2
1a2541f0-f30f-0134-6d73-0a2d04121181,2,2,2,2,1,1,1,1,2,2,2,1,2,2,2,2
1a3d50d0-ed4a-0134-5621-0a6b3886cf3d,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
1a996000-ed80-0134-dd5a-0a6b3886cf3d,2,2,2,1,2,2,1,2,2,2,1,2,2,1,2,2
1acb86c0-eb2b-0134-1624-0a6b3886cf3d,2,2,2,2,2,1,2,1,1,2,2,1,2,1,2,2
1aee3500-f073-0134-d203-0a6b3886cf3d,2,1,2,2,1,2,2,2,1,1,2,1,2,2,2,2
1bbbe060-eeb2-0134-fdba-0aeaf0818377,2,2,1,2,1,2,2,1,2,1,2,2,1,2,2,2
1bdc62d0-efa4-0134-204d-0aeaf0818377,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2
1c0134f0-ee26-0134-655b-0a6b3886cf3d,2,1,1,1,2,2,2,2,2,2,1,1,2,2,2,2
1c068370-ee30-0134-02f9-0aeaf0818377,1,2,2,2,1,1,2,2,1,1,2,2,2,2,2,2
1c2c3d10-ee35-0134-9baf-0a6b3886cf3d,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2
1c334030-ef16-0134-1bb3-0a6b3886cf3d,2,1,1,2,1,1,2,2,2,2,2,1,2,2,2,2
1c569fb0-ee01-0134-4bb1-0aeaf0818377,2,2,2,1,2,1,1,2,2,2,2,1,2,2,2,2
1c9c1f70-ea5d-0134-9f4b-0aeaf0818377,2,2,2,2,2,1,2,1,1,2,1,1,2,2,2,2
1cc03e90-efb1-0134-56f6-0aeaf0818377,2,2,1,2,1,2,2,1,1,2,2,1,2,2,2,2
1d2c38b0-f21a-0134-0ece-0a6b3886cf3d,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2
1d670380-efad-0134-49a1-0aeaf0818377,2,2,1,2,1,2,1,2,1,1,2,2,2,2,2,2
1d6717b0-ea5a-0134-95de-0aeaf0818377,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2
1d678a00-ee2d-0134-f918-0aeaf0818377,1,2,1,2,2,2,1,2,2,1,1,2,2,2,2,2
1deb8ab0-f417-0134-fc50-0aec2244eae5,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2
1df26300-ef5f-0134-8e3c-0a6b3886cf3d,2,1,2,2,1,2,2,2,1,1,2,2,2,2,2,2
1dfdb460-ee44-0134-574b-0aeaf0818377,1,2,2,1,2,2,1,2,2,2,2,1,1,2,2,2
1e012280-eef2-0134-955c-0aeaf0818377,1,2,2,2,1,1,1,2,2,1,2,2,2,2,2,2
1e1ddf30-eebf-0134-b900-0aeaf0818377,2,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2
1e2d08a0-ed88-0134-1b1b-0aeaf0818377,2,2,2,1,1,2,2,1,1,2,2,1,2,2,2,2
1e2d9100-ee01-0134-4bb9-0aeaf0818377,1,2,2,1,2,2,1,1,1,2,2,2,2,2,2,2
1e57c270-ee0b-0134-a397-0aeaf0818377,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
1ea7d800-ed3a-0134-3b3b-0aeaf0818377,2,2,1,2,1,2,2,1,1,2,2,1,2,2,2,2
1ed14b00-ed46-0134-4a2e-0a6b3886cf3d,1,2,1,1,2,2,2,1,2,2,2,1,2,2,2,2
1ef2dba0-eea9-0134-2c63-0a6b3886cf3d,1,1,2,2,2,2,1,2,2,1,1,2,2,2,2,2
1f1ae830-ee4f-0134-d399-0aeaf0818377,1,2,2,1,2,2,2,2,2,2,1,1,2,2,2,2
1f295350-ed4b-0134-2883-0aeaf0818377,2,1,2,2,2,2,1,2,1,1,2,1,2,2,2,2
1f2bba60-ed50-0134-0587-0aeaf0818377,1,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2
1f359bb0-ed58-0134-213a-0aeaf0818377,1,1,1,2,2,1,2,1,2,2,2,2,2,2,2,2
1f3dcf40-ed2d-0134-a2c2-0a6b3886cf3d,1,1,2,2,2,2,2,2,1,1,2,1,2,2,2,2
1f5d6b80-ea38-0134-57ad-0a6b3886cf3d,1,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2
1f6d13d0-f246-0134-eb82-0a6b3886cf3d,2,2,2,1,1,1,2,2,1,2,2,2,2,1,2,2
1f95d580-ea36-0134-ea6f-0a6b3886cf3d,2,2,2,1,1,2,2,1,2,2,1,1,2,2,2,2
1fb7ed20-eea2-0134-6ab5-0aeaf0818377,2,2,2,2,2,2,1,1,2,2,1,1,2,1,2,2
1fdbb680-eead-0134-b32a-0a6b3886cf3d,2,2,2,2,1,2,2,1,1,2,2,1,2,1,2,2
1fe99610-ea49-0134-a08d-0a6b3886cf3d,2,2,1,2,1,2,2,1,1,2,2,1,2,2,2,2
207e8490-ee04-0134-ef95-0a6b3886cf3d,1,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2
209d6420-eeb2-0134-fdcb-0aeaf0818377,1,1,2,2,2,1,1,2,2,2,1,2,2,2,2,2
20b46950-f0c3-0134-785b-0a6b3886cf3d,2,2,2,2,2,1,1,1,2,2,2,2,1,2,2,2
20d953c0-eec3-0134-8717-0aeaf0818377,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2
21580020-eae7-0134-0213-0aeaf0818377,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
21752d90-eab7-0134-5fd4-0aeaf0818377,1,2,2,2,2,2,2,2,1,1,2,1,2,1,2,2
218017f0-eab9-0134-06c5-0a6b3886cf3d,1,2,2,2,1,1,2,2,2,1,2,2,2,2,2,2
21882f50-f15e-0134-aee8-0aeaf0818377,1,2,2,2,2,1,1,2,2,1,2,2,2,1,2,2
21b6bd20-ed7f-0134-da98-0a6b3886cf3d,1,1,2,2,1,2,2,2,1,1,2,2,2,2,2,2
21bbbf10-efb7-0134-7d56-0aeaf0818377,1,2,2,2,2,1,2,2,2,1,1,2,2,1,2,2
21d90020-f0a4-0134-e95d-0a6b3886cf3d,2,2,2,1,1,2,2,2,1,1,2,2,2,2,2,2
21dbf020-ee37-0134-a248-0a6b3886cf3d,1,2,2,2,2,1,1,2,1,2,2,2,2,2,2,2
21f6fc70-eeb9-0134-429c-0a6b3886cf3d,2,2,1,2,2,1,2,2,1,1,1,2,2,2,2,2
22726800-f305-0134-5c6e-0a7e36e19983,2,2,2,2,1,1,1,2,2,1,2,2,2,1,2,2
2313a800-edce-0134-2986-0aeaf0818377,2,1,2,2,1,2,2,1,1,2,2,1,2,2,2,2
231ffec0-ea30-0134-2161-0aeaf0818377,2,1,2,2,2,1,1,2,2,2,2,2,1,2,2,2
2360fae0-ee17-0134-e94a-0aeaf0818377,1,2,2,2,1,1,2,2,2,1,2,2,2,1,2,2
237085c0-eedb-0134-e07d-0a6b3886cf3d,1,2,2,2,1,2,1,1,2,2,2,2,2,1,2,2
2391a3a0-ee0a-0134-a056-0aeaf0818377,1,2,2,2,2,2,1,2,2,1,1,1,2,2,2,2
23be80d0-eec6-0134-6b5c-0a6b3886cf3d,1,2,2,2,2,1,1,2,2,1,2,2,1,2,2,2
240b8160-ed75-0134-7fa1-0a6b3886cf3d,2,2,1,1,1,2,2,1,1,2,2,2,2,2,2,2
2419ddc0-ec59-0134-1188-0a6b3886cf3d,1,1,2,2,2,1,2,2,2,2,1,2,2,1,2,2
244d2620-ee43-0134-5489-0aeaf0818377,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
24601230-ee13-0134-f1f3-0a6b3886cf3d,1,1,2,2,2,2,2,2,2,2,1,2,1,1,2,2
24be3e70-ebec-0134-a545-0a6b3886cf3d,2,1,2,2,2,1,2,1,1,2,2,1,2,2,2,2
24f61100-efdc-0134-ae9a-0a6b3886cf3d,2,2,2,1,2,2,2,1,1,1,2,1,2,2,2,2
